Station,station_id,Model,Precision,Recall,F1,CSI,TP,FP,FN,TN,AUC
"Potomac River, DC",01646500,PatchTST,0.608,1.000,0.756,0.608,458,295,0,88,0.906
"Potomac River, DC",01646500,LSTM-AE,0.765,0.882,0.819,0.694,404,124,54,259,0.864
"Potomac River, DC",01646500,IF,0.847,0.328,0.472,0.309,150,27,308,356,
"Potomac River, DC",01646500,OC-SVM,0.617,0.989,0.760,0.613,453,281,5,102,
"White River, IN",03351000,PatchTST,0.646,1.000,0.785,0.646,217,119,0,20,0.896
"White River, IN",03351000,LSTM-AE,0.704,0.820,0.757,0.610,178,75,39,64,0.695
"White River, IN",03351000,IF,0.712,0.581,0.640,0.470,126,51,91,88,
"White River, IN",03351000,OC-SVM,0.672,0.954,0.789,0.651,207,101,10,38,
"Sacramento River, CA",11447650,PatchTST,0.619,1.000,0.764,0.619,477,294,0,95,0.860
"Sacramento River, CA",11447650,LSTM-AE,0.738,0.979,0.841,0.726,467,166,10,223,0.870
"Sacramento River, CA",11447650,IF,0.752,0.501,0.601,0.430,239,79,238,310,
"Sacramento River, CA",11447650,OC-SVM,0.633,0.979,0.769,0.624,467,271,10,118,
"Clackamas River, OR",14211010,PatchTST,0.629,1.000,0.773,0.629,479,282,0,113,0.892
"Clackamas River, OR",14211010,LSTM-AE,0.672,0.985,0.799,0.666,472,230,7,165,0.953
"Clackamas River, OR",14211010,IF,0.767,0.701,0.733,0.578,336,102,143,293,
"Clackamas River, OR",14211010,OC-SVM,0.653,0.919,0.763,0.617,440,234,39,161,
